fy,diameter,fc,member_type,Lpb,Lpt,Ldc,Lpc
600,D22,27,BEAM_COLUMN,1990,2580,640,1190
600,D25,27,BEAM_COLUMN,2260,2930,730,1350
600,D29,27,BEAM_COLUMN,2620,3400,840,1570
600,D32,27,BEAM_COLUMN,2890,3750,930,1730
600,D35,27,BEAM_COLUMN,3160,4100,1020,1890
600,D10,27,SLAB_WALL,440,570,290,540
600,D13,27,SLAB_WALL,690,900,380,710
600,D16,27,SLAB_WALL,990,1290,470,870
600,D19,27,SLAB_WALL,1330,1720,550,1030
600,D22,27,SLAB_WALL,2110,2750,640,1190
600,D25,27,SLAB_WALL,2600,3380,730,1350
600,D29,27,SLAB_WALL,3300,4290,840,1570
600,D32,27,SLAB_WALL,3850,5000,930,1730
600,D35,27,SLAB_WALL,4420,5740,1020,1890
600,D10,30,FOOTING,420,540,280,540
600,D13,30,FOOTING,540,700,360,710
600,D16,30,FOOTING,660,860,440,870
600,D19,30,FOOTING,780,1020,530,1030
600,D22,30,FOOTING,1250,1620,610,1190
600,D25,30,FOOTING,1610,2090,690,1350
600,D29,30,FOOTING,2160,2810,800,1570
600,D32,30,FOOTING,2630,3420,880,1730
600,D35,30,FOOTING,3150,4090,960,1890
600,D10,30,BEAM_COLUMN,690,890,280,540
600,D13,30,BEAM_COLUMN,890,1160,360,710
600,D16,30,BEAM_COLUMN,1100,1430,440,870
600,D19,30,BEAM_COLUMN,1300,1690,530,1030
600,D22,30,BEAM_COLUMN,1880,2450,610,1190
600,D25,30,BEAM_COLUMN,2140,2780,690,1350
600,D29,30,BEAM_COLUMN,2480,3230,800,1570
600,D32,30,BEAM_COLUMN,2740,3560,880,1730
600,D35,30,BEAM_COLUMN,3000,3890,960,1890
600,D10,30,SLAB_WALL,420,540,280,540
600,D13,30,SLAB_WALL,660,860,360,710
600,D16,30,SLAB_WALL,940,1220,440,870
600,D19,30,SLAB_WALL,1260,1640,530,1030
600,D22,30,SLAB_WALL,2010,2610,610,1190
600,D25,30,SLAB_WALL,2470,3210,690,1350
600,D29,30,SLAB_WALL,3130,4070,800,1570
600,D32,30,SLAB_WALL,3650,4740,880,1730
600,D35,30,SLAB_WALL,4190,5450,960,1890
600,D10,35,FOOTING,380,500,260,540
600,D13,35,FOOTING,500,650,330,710
600,D16,35,FOOTING,610,790,410,870
600,D19,35,FOOTING,730,940,490,1030
600,D22,35,FOOTING,1150,1500,560,1190
600,D25,35,FOOTING,1490,1930,640,1350
600,D29,35,FOOTING,2000,2600,740,1570
600,D32,35,FOOTING,2440,3160,820,1730
600,D35,35,FOOTING,2910,3780,890,1890
600,D10,35,BEAM_COLUMN,640,830,260,540
600,D13,35,BEAM_COLUMN,830,1070,330,710
600,D16,35,BEAM_COLUMN,1020,1320,410,870
600,D19,35,BEAM_COLUMN,1210,1570,490,1030
600,D22,35,BEAM_COLUMN,1750,2270,560,1190
600,D25,35,BEAM_COLUMN,1980,2580,640,1350
600,D29,35,BEAM_COLUMN,2300,2990,740,1570
600,D32,35,BEAM_COLUMN,2540,3300,820,1730
600,D35,35,BEAM_COLUMN,2770,3600,890,1890
600,D10,35,SLAB_WALL,380,500,260,540
600,D13,35,SLAB_WALL,610,790,330,710
600,D16,35,SLAB_WALL,870,1130,410,870
600,D19,35,SLAB_WALL,1170,1520,490,1030
600,D22,35,SLAB_WALL,1860,2410,560,1190
600,D25,35,SLAB_WALL,2290,2970,640,1350
600,D29,35,SLAB_WALL,2900,3770,740,1570
600,D32,35,SLAB_WALL,3380,4390,820,1730
600,D35,35,SLAB_WALL,3880,5040,890,1890
600,D10,40,FOOTING,360,470,240,540
600,D13,40,FOOTING,470,610,320,710
600,D16,40,FOOTING,570,740,390,870
600,D19,40,FOOTING,680,880,460,1030
600,D22,40,FOOTING,1080,1400,530,1190
600,D25,40,FOOTING,1390,1810,600,1350
600,D29,40,FOOTING,1870,2430,700,1570
600,D32,40,FOOTING,2280,2960,770,1730
600,D35,40,FOOTING,2720,3540,850,1890
600,D10,40,BEAM_COLUMN,600,770,240,540
600,D13,40,BEAM_COLUMN,770,1010,320,710
600,D16,40,BEAM_COLUMN,950,1240,390,870
600,D19,40,BEAM_COLUMN,1130,1470,460,1030
600,D22,40,BEAM_COLUMN,1630,2120,530,1190
600,D25,40,BEAM_COLUMN,1850,2410,600,1350
600,D29,40,BEAM_COLUMN,2150,2790,700,1570
600,D32,40,BEAM_COLUMN,2370,3080,770,1730
600,D35,40,BEAM_COLUMN,2590,3370,850,1890
600,D10,40,SLAB_WALL,360,470,240,540
600,D13,40,SLAB_WALL,570,740,320,710
600,D16,40,SLAB_WALL,820,1060,390,870
600,D19,40,SLAB_WALL,1090,1420,460,1030
600,D22,40,SLAB_WALL,1740,2260,530,1190
600,D25,40,SLAB_WALL,2140,2780,600,1350
600,D29,40,SLAB_WALL,2710,3520,700,1570
600,D32,40,SLAB_WALL,3160,4110,770,1730
600,D35,40,SLAB_WALL,3630,4720,850,1890
